Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
locationcontact2_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_v2] = '1',,,,,,
timecontact2_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_v2] = '1',,,,,,
another_2_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_v2] = '1',y,,,,,
contact3_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_2_v2] = '1',y,RH,,,,
contact3_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact3_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_2_v2] = '1',,RH,,,,
touchcontact3_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_2_v2] = '1',,RH,,,,
contextcontact3_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_2_v2] = '1',,,,,,
locationcontact3_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_2_v2] = '1',,,,,,
timecontact3_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_2_v2] = '1',,,,,,
another_3_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_2_v2] = '1',y,,,,,
contact4_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_3_v2] = '1',y,RH,,,,
contact4_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact4_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_3_v2] = '1',,RH,,,,
touchcontact4_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_3_v2] = '1',,RH,,,,
contextcontact4_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_3_v2] = '1',,,,,,
locationcontact4_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_3_v2] = '1',,,,,,
timecontact4_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_3_v2] = '1',,,,,,
another_4_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_3_v2] = '1',y,,,,,
contact5_v2,a_year_ago,,text,"Contact title or description of person/s
",,,,,,,[another_4_v2] = '1',y,RH,,,,
contact5_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact5_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_4_v2] = '1',,RH,,,,
touchcontact5_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_4_v2] = '1',,RH,,,,
contextcontact5_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_4_v2] = '1',,,,,,
timecontact5_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_4_v2] = '1',,,,,,
locationcontact5_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_4_v2] = '1',,,,,,
another_5_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_4_v2] = '1',y,,,,,
contact6_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_5_v2] = '1',y,RH,,,,
contact6_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact6_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_5_v2] = '1',,RH,,,,
touchcontact6_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_5_v2] = '1',,RH,,,,
contextcontact6_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_5_v2] = '1',,,,,,
locationcontact6_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_5_v2] = '1',,,,,,
timecontact6_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_5_v2] = '1',,,,,,
another_6_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_5_v2] = '1',y,,,,,
contact7_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_6_v2] = '1',y,RH,,,,
contact7_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact7_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_6_v2] = '1',,RH,,,,
touchcontact7_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_6_v2] = '1',,RH,,,,
contextcontact7_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_6_v2] = '1',,,,,,
locationcontact7_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_6_v2] = '1',,,,,,
timecontact7_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_6_v2] = '1',,,,,,
another_7_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_6_v2] = '1',y,,,,,
contact8_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_7_v2] = '1',y,RH,,,,
contact8_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact8_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_7_v2] = '1',,RH,,,,
touchcontact8_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_7_v2] = '1',,RH,,,,
contextcontact8_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_7_v2] = '1',,,,,,
locationcontact8_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_7_v2] = '1',,,,,,
timecontact8_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_7_v2] = '1',,,,,,
another_8_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_7_v2] = '1',y,,,,,
contact9_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_8_v2] = '1',y,RH,,,,
contact9_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact9_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_8_v2] = '1',,RH,,,,
touchcontact9_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_8_v2] = '1',,RH,,,,
contextcontact9_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_8_v2] = '1',,,,,,
locationcontact9_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_8_v2] = '1',,,,,,
timecontact9_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_8_v2] = '1',,,,,,
another_9_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_8_v2] = '1',y,,,,,
contact10_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_9_v2] = '1',y,RH,,,,
contact10_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact10_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_9_v2] = '1',,RH,,,,
touchcontact10_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_9_v2] = '1',,RH,,,,
contextcontact10_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_9_v2] = '1',,,,,,
locationcontact10_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_9_v2] = '1',,,,,,
timecontact10_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_9_v2] = '1',,,,,,
another_10_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_9_v2] = '1',y,,,,,
contact11_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_10_v2] = '1',y,RH,,,,
contact11_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact11_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_10_v2] = '1',,RH,,,,
touchcontact11_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_10_v2] = '1',,RH,,,,
contextcontact11_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_10_v2] = '1',,,,,,
locationcontact11_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_10_v2] = '1',,,,,,
timecontact11_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_10_v2] = '1',,,,,,
another_11_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_10_v2] = '1',y,,,,,
contact12_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_11_v2] = '1',y,RH,,,,
contact12_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact12_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_11_v2] = '1',,RH,,,,
touchcontact12_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_11_v2] = '1',,RH,,,,
contextcontact12_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_11_v2] = '1',,,,,,
locationcontact12_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_11_v2] = '1',,,,,,
timecontact12_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_11_v2] = '1',,,,,,
another_12_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_11_v2] = '1',y,,,,,
contact13_v2,a_year_ago,,text,"Contact title or description of person/s
",,,,,,,[another_12_v2] = '1',y,RH,,,,
contact13_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact13_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_12_v2] = '1',,RH,,,,
touchcontact13_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_12_v2] = '1',,RH,,,,
contextcontact13_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_12_v2] = '1',,,,,,
locationcontact13_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_12_v2] = '1',,,,,,
timecontact13_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_12_v2] = '1',,,,,,
another_13_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_12_v2] = '1',y,,,,,
contact14_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_13_v2] = '1',y,RH,,,,
contact14_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact14_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_13_v2] = '1',,RH,,,,
touchcontact14_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_13_v2] = '1',,RH,,,,
contextcontact14_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_13_v2] = '1',,,,,,
locationcontact14_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_13_v2] = '1',,,,,,
timecontact14_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_13_v2] = '1',,,,,,
another_14_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_13_v2] = '1',y,,,,,
contact15_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_14_v2] = '1',y,RH,,,,
contact15_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact15_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_14_v2] = '1',,RH,,,,
touchcontact15_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_14_v2] = '1',,RH,,,,
contextcontact15_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_14_v2] = '1',,,,,,
locationcontact15_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,[another_14_v2] = '1',,,,,,
timecontact15_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_14_v2] = '1',,,,,,
another_15_v2,a_year_ago,,yesno,Did you have contact with another person?,,,,,,,[another_14_v2] = '1',y,,,,,
Contact1:22AgeCat,added later,,number,What Age Category was that contact? Catechment for the checkboxes from agecontact,"1, 0-17 | 2, 18-25 | 3, 26-64 | 4, 65+",,,,,,,,,,,,
Contact1:22Location,added later,,Number,Catchment for Context,"1, My home | 2, Work | 3, Leisure | 4, Travel | 5, Shopping | 6, Other",,,,,,,,,,,,
